task	style	model	run	emitted	graded	out_tokens	diff_lines
001-wrap-dispatch-in-else	braceless	qwen2.5:0.5b	1	nonconform	FAIL_COMPILE	60	15
001-wrap-dispatch-in-else	braceless	qwen2.5:0.5b	2	nonconform	FAIL_MISSCOPE	64	5
001-wrap-dispatch-in-else	braceless	qwen2.5:0.5b	3	nonconform	FAIL_MISSCOPE	64	5
001-wrap-dispatch-in-else	braceless	qwen2.5:0.5b	4	conform	FAIL_MISSCOPE	62	2
001-wrap-dispatch-in-else	braceless	qwen2.5:0.5b	5	nonconform	FAIL_COMPILE	66	20
001-wrap-dispatch-in-else	braceless	qwen2.5:0.5b	6	conform	FAIL_COMPILE	51	10
001-wrap-dispatch-in-else	braces	qwen2.5:0.5b	1	conform	FAIL_COMPILE	78	16
001-wrap-dispatch-in-else	braces	qwen2.5:0.5b	2	conform	FAIL_MISSCOPE	68	8
001-wrap-dispatch-in-else	braces	qwen2.5:0.5b	3	conform	FAIL_COMPILE	64	9
001-wrap-dispatch-in-else	braces	qwen2.5:0.5b	4	conform	FAIL_COMPILE	63	7
001-wrap-dispatch-in-else	braces	qwen2.5:0.5b	5	conform	FAIL_COMPILE	78	16
001-wrap-dispatch-in-else	braces	qwen2.5:0.5b	6	conform	PASS	77	12
001-wrap-dispatch-in-else	common	qwen2.5:0.5b	1	na	FAIL_COMPILE	62	15
001-wrap-dispatch-in-else	common	qwen2.5:0.5b	2	na	FAIL_MISSCOPE	64	5
001-wrap-dispatch-in-else	common	qwen2.5:0.5b	3	na	FAIL_MISSCOPE	62	2
001-wrap-dispatch-in-else	common	qwen2.5:0.5b	4	na	FAIL_COMPILE	67	11
001-wrap-dispatch-in-else	common	qwen2.5:0.5b	5	na	FAIL_MISSCOPE	63	4
001-wrap-dispatch-in-else	common	qwen2.5:0.5b	6	na	FAIL_COMPILE	58	10
002-wrap-scan-medium	braceless	qwen2.5:0.5b	1	nonconform	FAIL_MISSCOPE	91	3
002-wrap-scan-medium	braceless	qwen2.5:0.5b	2	conform	FAIL_COMPILE	58	17
002-wrap-scan-medium	braceless	qwen2.5:0.5b	3	conform	FAIL_MISSCOPE	90	2
002-wrap-scan-medium	braceless	qwen2.5:0.5b	4	nonconform	FAIL_MISSCOPE	92	5
002-wrap-scan-medium	braceless	qwen2.5:0.5b	5	conform	FAIL_MISSCOPE	99	15
002-wrap-scan-medium	braceless	qwen2.5:0.5b	6	nonconform	FAIL_MISSCOPE	92	5
002-wrap-scan-medium	braces	qwen2.5:0.5b	1	conform	FAIL_MISSCOPE	89	4
002-wrap-scan-medium	braces	qwen2.5:0.5b	2	conform	FAIL_MISSCOPE	116	21
002-wrap-scan-medium	braces	qwen2.5:0.5b	3	conform	FAIL_COMPILE	96	13
002-wrap-scan-medium	braces	qwen2.5:0.5b	4	conform	PASS	99	12
002-wrap-scan-medium	braces	qwen2.5:0.5b	5	conform	PASS	100	15
002-wrap-scan-medium	braces	qwen2.5:0.5b	6	conform	PASS	100	14
002-wrap-scan-medium	common	qwen2.5:0.5b	1	na	FAIL_COMPILE	67	15
002-wrap-scan-medium	common	qwen2.5:0.5b	2	na	FAIL_MISSCOPE	92	5
002-wrap-scan-medium	common	qwen2.5:0.5b	3	na	FAIL_MISSCOPE	90	2
002-wrap-scan-medium	common	qwen2.5:0.5b	4	na	FAIL_MISSCOPE	90	2
002-wrap-scan-medium	common	qwen2.5:0.5b	5	na	FAIL_COMPILE	69	16
002-wrap-scan-medium	common	qwen2.5:0.5b	6	na	FAIL_COMPILE	55	12
003-wrap-scan-large	braceless	qwen2.5:0.5b	1	nonconform	FAIL_MISSCOPE	137	3
003-wrap-scan-large	braceless	qwen2.5:0.5b	2	conform	FAIL_COMPILE	54	18
003-wrap-scan-large	braceless	qwen2.5:0.5b	3	conform	FAIL_MISSCOPE	136	2
003-wrap-scan-large	braceless	qwen2.5:0.5b	4	nonconform	FAIL_MISSCOPE	138	5
003-wrap-scan-large	braceless	qwen2.5:0.5b	5	conform	FAIL_COMPILE	58	17
003-wrap-scan-large	braceless	qwen2.5:0.5b	6	nonconform	FAIL_MISSCOPE	138	5
003-wrap-scan-large	braces	qwen2.5:0.5b	1	conform	FAIL_MISSCOPE	158	33
003-wrap-scan-large	braces	qwen2.5:0.5b	2	conform	FAIL_COMPILE	89	20
003-wrap-scan-large	braces	qwen2.5:0.5b	3	conform	FAIL_COMPILE	69	18
003-wrap-scan-large	braces	qwen2.5:0.5b	4	conform	FAIL_COMPILE	63	18
003-wrap-scan-large	braces	qwen2.5:0.5b	5	conform	FAIL_MISSCOPE	63	19
003-wrap-scan-large	braces	qwen2.5:0.5b	6	conform	PASS	208	22
003-wrap-scan-large	common	qwen2.5:0.5b	1	na	FAIL_MISSCOPE	137	3
